構文ID,例文ID,V_group_key,原文,Slot,SlotPhrase,PhraseType,SubslotID,SubslotElement,Slot_display_order,display_order,QuestionType
1000,ex001,recovered,He has recovered quickly from a serious injury.,Aux,has,word,,,1,0,
1000,ex001,recovered,,S,He,word,,,2,0,
1000,ex001,recovered,,V,recovered,word,,,3,0,
1000,ex001,recovered,,M2,quickly,word,,,4,0,
1000,ex001,recovered,,M3,from a serious injury,word,,,5,0,
1001,ex002,lie,I lie on the bed.,S,I,word,,,1,0,
1001,ex002,lie,,V,lie,word,,,2,0,
1001,ex002,lie,,M3,on the bed,word,,,3,0,
1002,ex003,lie,You lie on the sofa.,S,You,word,,,1,0,
1002,ex003,lie,,V,lie,word,,,2,0,
1002,ex003,lie,,M3,on the sofa,word,,,3,0,
1003,ex004,lie,We lie on the floor.,S,We,word,,,1,0,
1003,ex004,lie,,V,lie,word,,,2,0,
1003,ex004,lie,,M3,on the floor,word,,,3,0,
1004,ex005,lie,They lie on the couch.,S,They,word,,,1,0,
1004,ex005,lie,,V,lie,word,,,2,0,
1004,ex005,lie,,M3,on the couch,word,,,3,0,
1005,ex006,got,You got me!,S,You,word,,,1,0,
1005,ex006,got,,V,got,word,,,2,0,
1005,ex006,got,,O1,me,word,,,3,0,
1006,ex007,got,I got him!,S,I,word,,,1,0,
1006,ex007,got,,V,got,word,,,2,0,
1006,ex007,got,,O1,him,word,,,3,0,
1007,ex008,got,He got them!,S,He,word,,,1,0,
1007,ex008,got,,V,got,word,,,2,0,
1007,ex008,got,,O1,them,word,,,3,0,
1008,ex009,got,We got Mark!,S,We,word,,,1,0,
1008,ex009,got,,V,got,word,,,2,0,
1008,ex009,got,,O1,Mark,word,,,3,0,
1009,ex010,get,Where did you get it?,M3,where,word,,,1,0,wh-word
1009,ex010,get,,Aux,did,word,,,2,0,
1009,ex010,get,,S,you,word,,,3,0,
1009,ex010,get,,V,get,word,,,4,0,
1009,ex010,get,,O1,it,word,,,5,0,
1010,ex011,get,Where did I get the device?,M3,where,word,,,1,0,wh-word
1010,ex011,get,,Aux,did,word,,,2,0,
1010,ex011,get,,S,I,word,,,3,0,
1010,ex011,get,,V,get,word,,,4,0,
1010,ex011,get,,O1,the device,word,,,5,0,
1011,ex012,get,Where did she get the book?,M3,where,word,,,1,0,wh-word
1011,ex012,get,,Aux,did,word,,,2,0,
1011,ex012,get,,S,she,word,,,3,0,
1011,ex012,get,,V,get,word,,,4,0,
1011,ex012,get,,O1,the book,word,,,5,0,
1012,ex013,get,Where did they get the information?,M3,where,word,,,1,0,wh-word
1012,ex013,get,,Aux,did,word,,,2,0,
1012,ex013,get,,S,they,word,,,3,0,
1012,ex013,get,,V,get,word,,,4,0,
1012,ex013,get,,O1,the information,word,,,5,0,
1013,ex014,give,"You, give it to me straight.",S,You,word,,,1,0,
1013,ex014,give,,V,give,word,,,2,0,
1013,ex014,give,,O1,it,word,,,3,0,
1014,ex015,give,"You, give that to him clearly.",S,You,word,,,1,0,
1014,ex015,give,,V,give,word,,,2,0,
1014,ex015,give,,O1,that,word,,,3,0,
1014,ex015,give,,M2,clearly,word,,,4,0,
1015,ex016,give,"You, give this to her honestly.",S,You,word,,,1,0,
1015,ex016,give,,V,give,word,,,2,0,
1015,ex016,give,,O1,this,word,,,3,0,
1015,ex016,give,,M2,honestly,word,,,4,0,
1016,ex017,give,"You, give them to us directly.",S,You,word,,,1,0,
1016,ex017,give,,V,give,word,,,2,0,
1016,ex017,give,,O1,them,word,,,3,0,
1016,ex017,give,,M2,directly,word,,,4,0,
1017,ex018,reminds,That reminds me.,S,That,word,,,1,0,
1017,ex018,reminds,,V,reminds,word,,,2,0,
1017,ex018,reminds,,O1,me,word,,,3,0,
1018,ex019,reminds,This reminds you.,S,This,word,,,1,0,
1018,ex019,reminds,,V,reminds,word,,,2,0,
1018,ex019,reminds,,O1,you,word,,,3,0,
1019,ex020,reminds,It reminds her.,S,It,word,,,1,0,
1019,ex020,reminds,,V,reminds,word,,,2,0,
1019,ex020,reminds,,O1,her,word,,,3,0,
1020,ex021,reminds,Everything reminds them.,S,Everything,word,,,1,0,
1020,ex021,reminds,,V,reminds,word,,,2,0,
1020,ex021,reminds,,O1,them,word,,,3,0,
