V_group_key,explanation_title,explanation_content
recover,recoverの使い方,recoverは「治る」なら自動詞で「from his illness」などを置いて情報を付加しますが、「回復する」なら他動詞で、まずは「his health」などの目的語が直接来ます。このように、同じ単語でどちらにも成り得るものは、使う場合に区別して注意する必要があります。
start,startの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。
rain,rainの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。
do,mindの使い方,mindは第1文型（目的語を置かない）と第3文型（「～を気にする」のように目的語を置く）の両方の形態を取り得る動詞です。このように、同じ単語でどちらにも成り得るものは、使う場合に区別して注意する必要があります。
care,careの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。
why,standの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。例文の「ここに立つ」は「ここに」が目的語のように見えますがそうではなく、hereは「ここに」という副詞です。standは自動詞です。
be,beの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。例文のようにbe動詞も「ある」という自動詞として用いる場合は第2文型とは限りません。
go,goの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。日本語では「行く」は「～（場所）に」という目的語を伴いますが、英語のgoは自動詞です。
pay,payの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。日本語では「払う」は「お金を」「犠牲を」など目的語を置きますが、英語では自動詞他動詞双方ともあり得ます。
believe,believeの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。believeは「概念などを信望する」として使う場合、自動詞です。この場合in Godは副詞句ですが、believe inを一つの句動詞と捉えることもできます。
lay,layの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。自動詞「横たわる」の過去形《lie-lay-lain》です。「横たえる」の他動詞layと紛らわしいです。
apologize,apologizeの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。apologizeは自動詞なのでapologize youは間違いです。ちなみに、「～のことで謝る」という原因を示すにはforを用います。
apologizes,apologizeの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。apologizeは自動詞なのでapologize youは間違いです。ちなみに、「～のことで謝る」という原因を示すにはforを用います。
listen,listenの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。listenは自動詞なのでlisten musicは間違いです。
leave,leaveの使い方,自動詞の第１文型は、「主語が動詞する」だけで文が完成し、「～に」や「～を」などの名詞チャンクを目的語として置く必要がありません。「～に」や「～を」あるいは「～から」などを置きたい場合は別途前置詞を伴って置きます。これらは後述する「副詞チャンク」であり、名詞チャンクである目的語とは異なるものです。「～へ出発する」の場合はleaveは自動詞となり、forを要します。「～を去る」の場合は他動詞となり、前置詞はいりません。
recover2,recoverの使い方,recoverは「治る」なら自動詞で「from his illness」などを置いて情報を付加しますが、「回復する」なら他動詞で、まずは「his health」などの目的語が直接来ます。このように、同じ単語でどちらにも成り得るものは、使う場合に区別して注意する必要があります。
